"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
"U.S. STATES","None","Before Congress named it for a person, its residents wanted to call it the territory of Columbia","Washington"
"WORD ORIGINS","None","Meaning to ascribe predetermined characteristics, this word comes from a printing process using metal plates","stereotype"
"TELEVISION PERSONALITIES","None","He was ordained by Pittsburgh Presbytery in 1962 with a charge to work with children through the media","Fred Rogers (host of \"Mister Rogers' Neighborhood\")"
"ALMA MATERS","None","Former governor & onetime presidential hopeful Mitt Romney earned his B.A. in 1971 from this university","BYU (Brigham Young University)"
"SPACE EXPLORATION","None","Next pair in the sequence:  Gumdrop, Spider;  Charlie Brown, Snoopy;...","the Columbia & the Eagle"
"ROMAN EMPERORS","None","The 2 Roman emperors during the time that Jesus Christ walked the Earth","Augustus Caesar & Tiberius"
"CURRENT AMERICAN BUSINESS","None","This co.'s name is a variation on a word coined by Milton Sirotta & used in the book "Mathematics and the Imagination"","Google, Inc."
"WORLD CITIES","None","Linked by the world's 5th longest suspension bridge, it lies in both Europe & Asia","Istanbul"
"MUSIC HALLS OF FAME","None","2 of the 4 Country Music Hall of Fame acts who are also in the Rock & Roll Hall of Fame as performers","(2 of) Johnny Cash, Elvis Presley, Brenda Lee & the Everly Brothers"
"HISTORIC HEADLINES","None","On Sept. 30, 2008 Daily Variety reprised this 5-word headline from Oct. 30, 1929","Wall Street Lays An Egg"
"SHOW BUSINESS","None","The wings on this, created in 1948, represent the "muse of art"; the atom represents the "electron of science"","the Emmy Award"
"HISTORIC QUOTATIONS","None","On July 13, 1859 he told Horace Greeley, "I have fifteen wives; I know no one who has more"","Brigham Young"
"BIBLICAL WEIGHTS AND MEASURES","None","As described in the Bible, the total volume of this was 450,000 cubic cubits","Noah's Ark"
"U.S. GOVERNMENT","None","In 1924 he succeeded William J. Burns who had resigned; he remained in his position for the next 48 years","J. Edgar Hoover"
"PULITZER PRIZE-WINNING BOOKS","None","One of its title studies is Sen. Edmund Ross' 1868 vote against convicting President Andrew Johnson","Profiles in Courage"
"ASIA","None","It's the largest landlocked country in the world","Mongolia"
"BRITAIN'S NATIONAL PORTRAIT GALLERY","None","In April 2000 the portrait of this living woman was moved from the Contemporary section to History","Margaret Thatcher"
"THE WORLD AFTER WWII","None","This peninsula was divided when Japan surrendered to the U.S. below the 38th parallel & to the Soviet Union north of it","the Korean Peninsula"
"HISTORIC NAMES","None","He is quoted as saying, "Another such victory over the Romans, and we are undone"","Pyrrhus"
"THE TITANIC","None","This man whose invention was used to call for help held a ticket for the voyage but changed his plans","Guglielmo Marconi"
"WORD ORIGINS","None","It's from the Latin for "hemp" because it was often made of hemp; add a letter & it means to take a survey","canvas"
"ARTISTS","None","At a May 1995 auction, a painting by her sold for $3.2 million, barely topping one by her husband","Frida Kahlo"
"SCOTTISH INVENTORS","None","In 1815 he was appointed Surveyor General of Roads in Bristol, England","Sir John MacAdam"
"HISTORIC NAMES","None","In 2002 Christie's auctioned off his own account of his 48-day journey & his coconut cup with the date April 1789 on it","Captain William Bligh (after he got bounced off the Bounty)"
"1998 DISCOVERIES","None","Discovered by a student, the largest known one of these fills as many pages as a good-sized novel","The World's Largest Prime Number"
"WORLD HISTORY","None","One of history's largest refugee migrations, about 15 million people, took place 1947-1951 between these 2 countries","Pakistan & India"
"'60s OSCAR-WINNING FILMS","None","Although 216 minutes long, this 1962 film had no women in credited speaking roles","Lawrence of Arabia"
"WORD ORIGINS","None","This word for a friend comes from the Latin for "with whom you would eat bread"","companion"
"BRITISH AUTHORS","None","In 1954 she became the first recipient of the Grand Master Award from the Mystery Writers of America","Agatha Christie"
"ARTISTS","None","Christopher Buckley called his book on the life and work of this artist "Blossoms and Bones"","Georgia O'Keeffe"
"U.S. LAKES","None","Wizard Island sits in this lake in what was once Mount Mazama","Crater Lake"
"AFTER THE PRESIDENCY","None","One of the 2 presidents to return to elected jobs in U.S. federal government after their final terms","(1 of) John Quincy Adams or Andrew Johnson"
"MOVIE DIRECTORS","None","Last name of the director whose production company is called 1492 Pictures","(Chris) Columbus"
"AUTHORS","None","Her first published writings appeared in the Shanghai Mercury when she was 7","Pearl Buck"
"MYTHOLOGY","None","The name of this monster is from the Greek for "she-goat"","the Chimera"
"NATIONAL ANTHEMS","None","This country's national anthem is "William of Nassau"","the Netherlands"
"ANCIENT TIMES","None","Plutarch's chapter on Romulus quotes this much later man as saying, "I love treason but hate a traitor"","Julius Caesar"
"OSCAR-NOMINATED MOVIES","None","One of the 2 Best Picture nominees in which CBS newsman & "60 Minutes" producer Don Hewitt is a character","(1 of) The Insider & Good Night and Good Luck"
"THE ACADEMY AWARDS","None","1 of the 2 Best Picture winners in the 1990s with one-word titles","Braveheart or Unforgiven"
"FRUIT","None","From Greek for "finger", the Arabs claim it has as many culinary & pharmaceutical uses as days in a year","the date"
"SCIENCE TERMS","None","This term for the lowest level of the ocean that the sun's rays can reach shares its name with a classic 1960s TV show","the twilight zone"
"20th CENTURY WEDDINGS","None","Her 1956 wedding attracted more than 1,500 news reporters to a country with just 20,000 citizens at the time","Grace Kelly"
"LANGUAGES","None","To have taken the 1st modern IQ test in 1905 you had to understand this language","French (the Binet-Simon test)"
"ARTISTIC MASTERPIECES","None",""Shouldn't the shining dots of the sky be as accessible as the black dots on the map of France?" the artist wrote of this work","The Starry Night (by Vincent Van Gogh)"
"WORD ORIGINS","None","Used in the '40s for a sudden loss of power in a jet engine, Herbert Freudenberger applied it in 1974 to spent people","Burnout"
"20th CENTURY NOVELISTS","None","After success writing in English, he & his son Dmitri translated some of his earlier Russian novels","Vladimir Nabokov"
"FAMOUS WOMEN","None","This author was a contributing editor of Asia magazine from 1941 to 1946","Pearl S. Buck"
"CIVIL WAR HISTORY","None","Though 1863's Emancipation Proclamation applied only to the Confederacy, this Union state, one of the original 13, ended slavery November 1, 1864","Maryland"
"THE EAST COAST","None","It's the only U.S. island allowed to use a possessive apostrophe by the U.S. Board on Geographic Names","Martha's Vineyard"
"POETS","None","In a 1921 letter this American-born poet had "a long poem in mind... which I am wishful to finish", & he did at 433 lines","T.S. Eliot"
"U.S. STATES","None","The 2 states which have "Waltz" in the title of their state songs","Missouri & Tennessee"
"THE ACADEMY AWARDS","None","As of 2006, 1 of only 3 women to be nominated for best director, for 1976, 1993 & 2003","Lina Wertmüller, Jane Campion and Sofia Coppola"
"SPORTS CITIES","None","It's the only city whose teams won the Super Bowl & the Stanley Cup in the same calendar year","Pittsburgh"
"SPACE EXPLORATION","None","Now 6 billion miles from Earth, Pioneer 10 originally was launched in 1972 on a mission to this planet","Jupiter"
"COMIC BOOK HISTORY","None","On the cover of the 1941 first issue of this comic book, the title hero punches Hitler in the jaw","Captain America"
"MOVIES & DANCE","None","Derived from other traditional dances & still popular today, the syrtaki was created for this 1964 movie","Zorba the Greek"
"BODIES OF WATER","None","The Rush-Bagot Agreement of 1817 between the U.S. & Great Britain limited naval power on these bodies of water","the Great Lakes or Lake Champlain"
"POETS","None","He had already published "The Negro Speaks of Rivers" when Vachel Lindsay discovered him busing tables","Langston Hughes"
"AMERICAN MUSIC","None","The brilliance of Anne Brown, a soprano, changed the title of a 1935 opera that was to be called simply this one name","Porgy"
"FAMOUS WOMEN","None","Both Detroit, her home now, and Montgomery, Alabama, her home in 1955, have streets named for her","Rosa Parks"
"1950s LITERATURE","None","In 2007 this novel celebrated its 50th anniversary as its manuscript, a 120-foot-long scroll, toured the U.S.","On the Road"
"SCIENTIFIC FIRSTS","None","The first object in our solar system discovered by telescope was not a planet but one of these","a moon"
"SCIENTISTS","None","Bertrand Russell said that "What Galileo and Newton were to the 17th century," this man "was to the 19th"","Charles Darwin"
"LANDMARKS","None","Operation Felix, a planned 1941 Nazi action to seize this territory, was never carried out because Spain wouldn't go along","Gibraltar"
"AMERICAN AUTHORS","None","In 1839, at age 19, he joined the crew of the freighter St. Lawrence that ran between NYC & Liverpool","Herman Melville"
"AMERICAN HISTORY","None","He was the only member of the Warren Commission who would later face would-be assassins himself","Gerald Ford"
"THE OSCARS","None","This Best Picture had the shortest title, using only 2 different letters","Gigi"
"20th CENTURY WORDS","None","In 1973, TIME Magazine blended 2 words to coin this term they gave to Rex Humbard as a job title","televangelist"
"NOTABLE NAMES","None","He declined the offer to lead a country & once said, "Politics is for the present... an equation is... for eternity"","Albert Einstein"
"17th CENTURY PEOPLE","None","Rev. John Robinson, Minister to these people, wrote them a letter saying how upset he was not to be going with them","the Pilgrims"
"FAMOUS NAMES","None","Before achieving fame in Hollywood, he was a cosmetician to the Russian royal court","Max Factor"
"ACTOR-DIRECTORS","None","The only woman to win a Golden Globe for directing, she won for a 1983 film that she had also co-written","Barbra Streisand"
"WORLD GEOGRAPHY","None","3 of this federation's constituent parts are Ash Shariqah, Al Fujayrah & Umm Al Qaywayn","Unired Arab Emirates"
"NAME'S THE SAME","None","Name shared by a British film company & an American who made millions in oil & pharmaceuticals","Hammer (Hammer Films/Armand Hammer)"
"POLITICAL IDIOMS","None","Used to describe a response made without thinking, its physical counterpart can take 1/20 second","knee-jerk"
"STATE CAPITALS","None","This Midwest city is the only state capital whose unabbreviated name starts with 3 consonants","Springfield, Illinois"
"BUSINESS & INDUSTRY","None","On July 16, 1995 this company made its first sale, a science textbook","Amazon.com"
"GEOGRAPHIC NICKNAMES","None","From the 1795 poem "Erin": "Nor one feeling of vengeance presume to defile/ The cause, or the men, of" this place","the Emerald Isle"
"PUBLICATIONS","None","In 1889 a daily New York news summary called the "Customers' Afternoon Letter" became this publication","The Wall Street Journal"
